fpl_id,first_name,second_name,web_name,position,team,start_cost,now_cost
51,Jacob,Ramsey,Ramsey,M,Aston Villa,4.5,4.5
52,Ashley,Young,Young,D,Aston Villa,5.0,5.0
53,Adam,Lallana,Lallana,M,Brighton,5.5,5.5
54,Jason,Steele,Steele,G,Brighton,4.0,4.0
55,Pascal,Groß,Groß,M,Brighton,6.0,6.0
56,Shane,Duffy,Duffy,D,Brighton,4.0,4.0
57,Davy,Pröpper,Pröpper,M,Brighton,4.5,4.5
58,Dan,Burn,Burn,D,Brighton,4.5,4.5
59,Lewis,Dunk,Dunk,D,Brighton,5.0,5.0
60,Solomon,March,March,M,Brighton,5.5,5.5
61,Adam,Webster,Webster,D,Brighton,4.5,4.5
62,Joël,Veltman,Veltman,D,Brighton,4.5,4.5
63,Neal,Maupay,Maupay,F,Brighton,6.5,6.5
64,Leandro,Trossard,Trossard,M,Brighton,6.5,6.5
65,Mathew,Ryan,Ryan,G,Brighton,4.5,4.5
66,Alireza,Jahanbakhsh,Jahanbakhsh,M,Brighton,5.5,5.5
67,Ben,White,White,D,Brighton,4.5,4.5
68,Bernardo,Fernandes Da Silva Junior,Bernardo,D,Brighton,4.0,4.0
69,Robert,Sánchez,Sánchez,G,Brighton,4.5,4.5
70,Yves,Bissouma,Bissouma,M,Brighton,4.5,4.5
71,Tariq,Lamptey,Lamptey,D,Brighton,4.5,4.5
72,Aaron,Connolly,Connolly,F,Brighton,5.5,5.5
73,Steven,Alzate,Alzate,M,Brighton,5.0,5.0
74,Alexis,Mac Allister,Mac Allister,M,Brighton,5.5,5.5
75,Jakub,Moder,Moder,M,Brighton,4.5,4.5
76,Pontus,Jansson,Jansson,D,Brentford,4.5,4.5
77,Christian,Nørgaard,Nørgaard,M,Brentford,5.0,5.0
78,Ivan,Toney,Toney,F,Brentford,6.5,6.5
79,Tariqe,Fosu-Henry,Fosu,M,Brentford,5.5,5.5
80,David,Raya Martin,Raya,G,Brentford,4.5,4.5
81,Sergi,Canós,Canós,M,Brentford,5.5,5.5
82,Pelenda Joshua,Dasilva,Dasilva,M,Brentford,5.5,5.5
83,Rico,Henry,Henry,D,Brentford,4.5,4.5
84,Vitaly,Janelt,Janelt,M,Brentford,5.0,5.0
85,Saman,Ghoddos,Ghoddos,M,Brentford,5.5,5.5
86,Mathias,Jensen,Jensen,M,Brentford,5.0,5.0
87,Charlie,Goode,Goode,D,Brentford,4.0,4.0
88,Marcus,Forss,Forss,F,Brentford,5.5,5.5
89,Mads,Roerslev Rasmussen,Roerslev,D,Brentford,4.5,4.5
90,Mads,Bech Sørensen,Sørensen,D,Brentford,4.5,4.5
91,Ethan,Pinnock,Pinnock,D,Brentford,4.5,4.5
92,Ellery,Balcombe,Balcombe,G,Brentford,4.0,4.0
93,Jan,Zamburek,Zamburek,M,Brentford,4.5,4.5
94,Patrik,Gunnarsson,Gunnarsson,G,Brentford,4.0,4.0
95,Halil,Dervişoğlu,Dervişoğlu,F,Brentford,5.5,5.5
96,Bryan,Mbeumo,Mbeumo,M,Brentford,5.5,5.5
97,Mads,Bidstrup,Bidstrup,M,Brentford,4.5,4.5
98,James,Tarkowski,Tarkowski,D,Burnley,5.0,5.0
99,Phil,Bardsley,Bardsley,D,Burnley,4.0,4.0
100,Erik,Pieters,Pieters,D,Burnley,4.5,4.5
101,Jack,Cork,Cork,M,Burnley,4.5,4.5
102,Dale,Stephens,Stephens,M,Burnley,4.5,4.5
103,Kevin,Long,Long,D,Burnley,4.0,4.0
104,Jay,Rodriguez,Rodriguez,F,Burnley,5.5,5.5
105,Ashley,Barnes,Barnes,F,Burnley,5.5,5.5
106,Ben,Mee,Mee,D,Burnley,5.0,5.0
107,Ashley,Westwood,Westwood,M,Burnley,5.5,5.5
108,Johann Berg,Gudmundsson,Gudmundsson,M,Burnley,5.5,5.5
109,Chris,Wood,Wood,F,Burnley,7.0,7.0
110,Matthew,Lowton,Lowton,D,Burnley,4.5,4.5
111,Matej,Vydra,Vydra,F,Burnley,5.5,5.5
112,Nick,Pope,Pope,G,Burnley,5.5,5.5
113,Charlie,Taylor,Taylor,D,Burnley,4.5,4.5
114,Will,Norris,Norris,G,Burnley,4.5,4.5
115,Josh,Brownhill,Brownhill,M,Burnley,4.5,4.5
116,Josh,Benson,Benson,M,Burnley,4.5,4.5
117,Bailey,Peacock-Farrell,Peacock-Farrell,G,Burnley,4.5,4.5
118,Dwight,McNeil,McNeil,M,Burnley,6.0,6.0
119,César,Azpilicueta,Azpilicueta,D,Chelsea,6.0,6.0
120,Olivier,Giroud,Giroud,F,Chelsea,6.5,6.5
121,Thiago,Thiago,Thiago Silva,D,Chelsea,5.5,5.5
122,Marcos,Alonso,Alonso,D,Chelsea,5.5,5.5
123,Jorge Luiz,Frello Filho,Jorginho,M,Chelsea,6.0,6.0
124,Ross,Barkley,Barkley,M,Chelsea,5.5,5.5
125,Mateo,Kovacic,Kovacic,M,Chelsea,5.0,5.0
126,Michy,Batshuayi,Batshuayi,F,Chelsea,5.5,5.5
127,Antonio,Rüdiger,Rüdiger,D,Chelsea,5.5,5.5
